pais,fecha,valor
colombia,2016-01-01,3284.03
colombia,2016-02-01,3357.5
colombia,2016-03-01,3145.26
colombia,2016-04-01,2998.71
colombia,2016-05-01,2988.38
colombia,2016-06-01,2991.68
colombia,2016-07-01,2963.99
colombia,2016-08-01,2963.82
colombia,2016-09-01,2921.15
colombia,2016-10-01,2932.61
colombia,2016-11-01,3106.4
colombia,2016-12-01,3009.53
colombia,2017-01-01,2944.65
colombia,2017-02-01,2881.68
colombia,2017-03-01,2943.49
colombia,2017-04-01,2873.55
colombia,2017-05-01,2924.0
colombia,2017-06-01,2958.36
colombia,2017-07-01,3038.76
colombia,2017-08-01,2972.62
colombia,2017-09-01,2918.49
colombia,2017-10-01,2955.06
colombia,2017-11-01,3013.17
colombia,2017-12-01,2991.42
colombia,2018-01-01,2867.68
colombia,2018-02-01,2860.0
colombia,2018-03-01,2852.46
colombia,2018-04-01,2765.96
colombia,2018-05-01,2862.95
colombia,2018-06-01,2893.22
colombia,2018-07-01,2885.55
colombia,2018-08-01,2959.57
colombia,2018-09-01,3037.8
colombia,2018-10-01,3080.48
colombia,2018-11-01,3198.13
colombia,2018-12-01,3212.48
colombia,2019-01-01,3161.91
colombia,2019-02-01,3115.15
colombia,2019-03-01,3125.34
colombia,2019-04-01,3155.22
colombia,2019-05-01,3310.49
colombia,2019-06-01,3256.02
colombia,2019-07-01,3208.11
colombia,2019-08-01,3412.65
colombia,2019-09-01,3399.62
colombia,2019-10-01,3437.73
colombia,2019-11-01,3411.42
colombia,2019-12-01,3383.0
colombia,2020-01-01,3317.37
colombia,2020-02-01,3408.24
colombia,2020-03-01,3870.01
colombia,2020-04-01,3986.56
colombia,2020-05-01,3863.34
colombia,2020-06-01,3693.0
colombia,2020-07-01,3660.6
colombia,2020-08-01,3788.1
colombia,2020-09-01,3749.86
colombia,2020-10-01,3833.06
colombia,2020-11-01,3680.67
colombia,2020-12-01,3468.5
colombia,2021-01-01,3494.53
colombia,2021-02-01,3552.43
colombia,2021-03-01,3617.0
colombia,2021-04-01,3651.85
colombia,2021-05-01,3741.96
colombia,2021-06-01,3693.0
colombia,2021-07-01,3832.24
colombia,2021-08-01,3887.68
colombia,2021-09-01,3820.28
colombia,2021-10-01,3771.68
colombia,2021-11-01,3900.51
colombia,2021-12-01,3967.77
colombia,2022-01-01,3982.6
colombia,2022-02-01,3910.64
colombia,2022-03-01,3748.15
colombia,2022-04-01,3966.27
colombia,2022-05-01,3912.34
colombia,2022-06-01,4127.47
colombia,2022-07-01,4300.3
colombia,2022-08-01,4400.16
colombia,2022-09-01,4532.07
colombia,2022-10-01,4819.42
colombia,2022-11-01,4809.51
colombia,2022-12-01,4810.2
colombia,2023-01-01,4632.2
colombia,2023-02-01,4808.14
colombia,2023-03-01,4627.27
colombia,2023-04-01,4669.0
colombia,2023-05-01,4408.65
colombia,2023-06-01,4191.28
colombia,2023-07-01,3923.49
colombia,2023-08-01,4085.33
colombia,2023-09-01,4053.76
colombia,2023-10-01,4060.83
colombia,2023-11-01,3980.67
colombia,2023-12-01,3822.05
colombia,2024-01-01,3925.6
colombia,2024-02-01,3933.56
colombia,2024-03-01,3842.3
colombia,2024-04-01,3873.44
colombia,2024-05-01,3869.1
colombia,2024-06-01,4042.8
colombia,2024-07-01,4036.92
colombia,2024-08-01,4065.759355
colombia,2024-09-01,4182.512333
colombia,2024-10-01,4249.47
colombia,2024-11-01,4408.652333
colombia,2024-12-01,4385.14871
colombia,2025-01-01,4307.567419
colombia,2025-02-01,4127.957143
colombia,2025-03-01,4137.684516
colombia,2025-04-01,4280.258
colombia,2025-05-01,4203.473871
colombia,2025-06-01,4113.485
colombia,2025-07-01,4040.848387
colombia,2025-08-01,4047.411613
colombia,2025-09-01,3922.212
colombia,2025-10-01,3877.844839
colombia,2025-11-01,3786.183333
colombia,2025-12-01,3791.471936
colombia,2026-01-01,3702.999032
colombia,2026-02-01,3675.9825
colombia,2026-03-01,3717.557419
mexico,2013-01-01,
mexico,2013-02-01,
mexico,2013-03-01,
mexico,2013-04-01,
mexico,2013-05-01,
mexico,2013-06-01,
mexico,2013-07-01,
mexico,2013-08-01,
mexico,2013-09-01,
mexico,2013-10-01,
mexico,2013-11-01,
mexico,2013-12-01,
mexico,2014-01-01,
mexico,2014-02-01,
mexico,2014-03-01,
mexico,2014-04-01,
mexico,2014-05-01,
mexico,2014-06-01,
mexico,2014-07-01,
mexico,2014-08-01,
mexico,2014-09-01,
mexico,2014-10-01,
mexico,2014-11-01,
mexico,2014-12-01,
mexico,2015-01-01,14.95551
mexico,2015-02-01,14.95402
mexico,2015-03-01,15.25479
mexico,2015-04-01,15.32951
mexico,2015-05-01,15.38403
mexico,2015-06-01,15.70433
mexico,2015-07-01,16.15436
mexico,2015-08-01,16.74231
mexico,2015-09-01,16.94813
mexico,2015-10-01,16.51272
mexico,2015-11-01,16.58406
mexico,2015-12-01,17.25866
mexico,2016-01-01,18.12185
mexico,2016-02-01,18.16815
mexico,2016-03-01,17.27305
mexico,2016-04-01,17.18277
mexico,2016-05-01,18.47238
mexico,2016-06-01,18.38421
mexico,2016-07-01,18.7579
mexico,2016-08-01,18.7958
mexico,2016-09-01,19.340378
mexico,2016-10-01,18.867
mexico,2016-11-01,20.5637
mexico,2016-12-01,20.715038
mexico,2017-01-01,20.817598
mexico,2017-02-01,20.1235
mexico,2017-03-01,18.763103
mexico,2017-04-01,18.8171
mexico,2017-05-01,18.6372
mexico,2017-06-01,18.12204
mexico,2017-07-01,17.809011
mexico,2017-08-01,17.8898
mexico,2017-09-01,18.250378
mexico,2017-10-01,19.170897
mexico,2017-11-01,18.6496
